
{'data': '211.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '212.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '213.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '213.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '219.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '220.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '220.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '221.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '222.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '231.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '234.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '236.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '237.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '238.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '239.39s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '240.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
